N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PERROE,토론실
1,삼성전자,"71,200","1,400",-1.93%,100,"4,250,485","5,969,783",53.61,"6,174,783",15.14,17.07,
2,LG에너지솔루션,"432,000","2,000",+0.47%,500,"1,010,880","234,000",4.53,"83,709",66.44,5.75,
3,SK하이닉스,"126,100","5,000",-3.81%,"5,000","918,011","728,002",52.83,"2,449,091",-7.99,3.56,
4,삼성바이오로직스,"708,000","4,000",-0.56%,"2,500","503,912","71,174",10.20,"17,473",53.78,11.42,
5,삼성전자우,"57,800",900,-1.53%,100,"475,629","822,887",72.79,"606,037",12.29,N/A,
6,POSCO홀딩스,"471,000","4,000",-0.84%,"5,000","398,330","84,571",26.48,"251,884",32.16,6.11,
7,현대차,"181,000",600,-0.33%,"5,000","382,872","211,532",32.88,"155,197",4.35,9.36,
8,NAVER,"212,500","2,000",+0.95%,100,"345,118","162,409",47.54,"513,631",41.14,3.29,
9,기아,"84,000",100,-0.12%,"5,000","337,717","402,044",38.63,"304,369",3.69,14.57,
10,LG화학,"473,500",500,+0.11%,"5,000","334,255","70,592",43.09,"123,030",28.45,6.95,
11,삼성SDI,"442,500","3,000",+0.68%,"5,000","304,283","68,765",45.08,"94,371",14.73,12.52,
12,포스코퓨처엠,"337,500","10,500",-3.02%,500,"261,438","77,463",5.65,"769,985",323.28,4.87,
13,셀트리온,"162,100",500,-0.31%,"1,000","237,319","146,403",20.42,"119,075",39.29,13.35,
14,카카오,"50,600",200,-0.39%,100,"224,915","444,496",26.08,"608,173",516.33,13.54,
15,삼성물산,"120,400",100,-0.08%,100,"223,452","185,592",19.34,"55,521",9.82,7.16,
16,현대모비스,"225,500",0,0.00%,"5,000","211,192","93,655",38.67,"32,664",6.23,6.80,
17,KB금융,"51,300",200,-0.39%,"5,000","207,001","403,511",72.34,"287,532",4.40,9.17,
18,신한지주,"36,650",100,-0.27%,"5,000","188,932","515,504",60.13,"310,559",4.63,9.70,
19,LG전자,"101,400",200,-0.20%,"5,000","165,939","163,648",29.11,"186,749",27.25,6.61,
20,삼성생명,"69,400",100,-0.14%,500,"138,800","200,000",16.82,"36,587",5.55,5.73,
